wordText,phoneticScript,syllable,weekNumber,dayNumber,partOfSpeech,definition,example1,example2,synonym1,synonym2,synonym3,synonym4,telugu,tamil,hindi,malayalam
adorn,/əˈdɔrn/,uh-dawrn,1,1,VERB,Make more beautiful or attractive.,pictures and prints adorned his walls,,add ornament to,decorate,embellish,,"అలంకరించు,సజ్జీకరించు.",,"सजाना, की शोभा बढ़ाना",
alleged,/əˈledʒd/,uh-lej-id,1,5,ADJECTIVE,"said or thought by some people to be the stated bad or illegal thing, although you have no proof.",It took 15 years for the alleged criminals to prove their innocence.,"The British Museum, too, says it knows nothing about any alleged fakes in its displays.",declared but not proved,claimed,rumoured,supposed,"ఆరోపించిన, ఆరోపిత, చెప్పబడిన.",,"आरोपित कथित ,अफ़वाही","ആരോപിതമായ,     ആരോപിക്കപ്പെട്ട"
appear,əˈpɪər,uh-peer,1,1,VERB,"Come into sight; become visible or noticeable, especially without apparent cause.",He suddenly appeared in the doorway.,,become visible,come into sight,come into view.,,"కనబడు, హాజరగు; స్ఫురించు, ప్రత్యక్షమౌట",,"दिखाई पड़ना, रूप लेना, आकृति करना",
asset,/ˈæs.et/,as-et,1,3,NOUN,"a useful or valuable quality, skill, or person",Knowledge of languages is a real asset in this sort of work.,,benefit,recommendation.,strength,,ఆస్తి; ధనము; ధనసర్వస్వము; ఒక వ్యక్తియొక్కగాని కంపెనీయొక్కగాని ఆస్తి.,,"सम्पत्ति,परिसंपत्ति",
bring,/brɪŋ/,bring,1,1,NOUN,"to cause to come into a particular position, state, or effect",These lamps will bring a good price.,,bring,fetch,take,,"తెచ్చు,పిలిౘుకొని వచ్చు, తీసికొనివచ్చు",,"खींचना,पहुँचाना  ,लगाना",
campaign,kamˈpeɪn,kam-peyn,1,1,NOUN,"a planned group of especially political, business, that are intended to achieve a particular aim.",They're busy campaigning against the building of a new motorway near here.,,"military operation,crusade,   struggle,manoeuvres.",,,,"ప్రచారం,దండయాత్ర, ఉద్యమం",,"मुहीम,अभियान चलाना",
captive,/ˈkæp tɪv/,kap-tiv,1,2,NOUN,A person who has been taken prisoner or an animal that has been confined.,The policeman put a pair of handcuffs on the captive.,The terrorists were holding several diplomats captive.,convict,prisoner,slave,,"బంధిలు, కైదీలు.",,"कैदी , बंदी, दास","കൂട്ടിലടയ്‌ക്കപ്പെട്ട, തടവുകാരന്‍, ജയില്‍പ്പുള്ളി"
coalition,ˌkoʊ əˈlɪʃ ən,koh-uh-lish-uh n,1,3,NOUN,a group of people or organizations working together to achieve something:,A coalition of environmental groups is working on a plan to reduce pollution in the city.,,affiliation,bloc,union,,"మిశ్రమం, సంకీర్ణం; తాత్కాలిక ఒప్పందం/ కూటమి",,"सहमिलन, संयुक्त सरकार, मेल",
come,/kʌm/,kuhm,1,1,VERB,to approach or move toward a particular person or place:,Success comes to those who strive.,,approach,draw near,move closer,,"వచ్చు, చేరు, ఆగు, సంభవించు",,"आना,उगना, पहुंचना",
dawn,/dɔn/,[dawn],1,1,NOUN,The first appearance of light in the sky before sunrise.,We woke at dawn.,,aurora,morning,,,"అరుణోదయకాలము, వేకువ",,,"പ്രാരംഭം, ഉദയം, അരുണോദയം"
debut,ˈdeɪbjuː,"[dey-byoo, di-, dey-byoo, deb-yoo]",1,1,NOUN,to perform or be introduced to the public for the first time.,a debut album.,,"entry, first appearance, introduction, launching, unveiling",,,,"ప్రారంభము, ప్రవేశము; క్రొత్తగా సభలో ప్రసంగింౘుట",,"प्रारंभ,प्रथम प्रदर्शन होना,प्रथम अभिनय.",
denounce,/dɪˈnaʊns/,dih-nouns,1,3,VERB,to criticize something or someone strongly and publicly.,We must denounce injustice and oppression.,,condemn,criticize,discredit,,"నిరసించు, తప్పులెన్ను, నిందించు, దూషించు, విమర్శించు.",,"निंदा करना, धमकाना, आरोप लगाना",
earthling,/ˈɜrθ lɪŋ/,urth-ling,1,2,NOUN,a word used by aliens to refer to an inhabitant of the earth.,How can we know the actual number of earthlings that are sceptics?,,human being,member of the human race,personage,,"భూజంతువు, మర్త్యుఁడు.",,पृथ्वीवासी,
enhance,/ɪnˈhɑːns/,en-hans,1,2,VERB,"To improve the quality, amount, or strength of something.",His refusal does nothing to enhance his reputation.,The presence of this extra quality will enhance your mark.,enrich,improve,raise,,"వృద్ధిచేయు, అధికంచేయు,   మెరుగుపరుచు.",,"बढ़ाना,वृद्धि करना,विस्तार करना",
fantasy,"ˈfæn tə si, -zi","fan-tuh-see, -zee",1,2,NOUN,The faculty or activity of imagining impossible or improbable things.,his researches had moved into the realms of fantasy’.,,creativity,fancy,imagination,,"కల్పనాశక్తి, స్వప్నం, భ్రమ, విపరీత భావన, వాస్తవాతీత గాథ.",,"भ्रम,कल्पना,अनुमान",
gadget,/ˈgædʒ ɪt/,gaj-it,1,3,NOUN,a small device or machine with a particular purpose.,a variety of kitchen gadgets’,,appliance,device,instrument,machine,"యంత్రసాధనం,ఉపాయం, యుక్తి (యంత్రంలో) చిన్న అమరిక/ కీలకం, యంత్రపరికరం.",,"यंत्र, टूम",
heed,/hid/,heed,1,3,VERB,".to pay attention to something, especially advice or a warning.",he should have heeded the warnings,,consider,pay attention to,take into account,,"లక్ష్యపెట్టు, ఆదరంగా విను, మెలఁకువ, జాగ్రత్త.",,"मन लगाना, ध्यान देना",
impact,ˈɪm pækt,im-pakt,1,2,NOUN,The action of one object coming forcibly into contact with another.,The new proposals were intended to soften the impact of the reformed tax system.,,collision,effect,percussion,,"ప్రభావం, సంఘటన, తాకిడి.",,"प्रभाव,गहरा असर डालना,धक्का",
imposing,/ɪmˈpoʊ zɪŋ/,im-poh-zing,1,3,ADJECTIVE,Grand and impressive in appearance.,He was an imposing figure on stage.,,awesome,impressive,stunning,,"గంభీరమైన,ఆశ్చర్యకరమైన, అద్భుతావహమైన",,"प्रभावशाली, प्रभाव डालने वाला.",
jowl,"/dʒaʊl, dʒoʊl/","joul, johl",1,2,NOUN,the loose skin and flesh under the jaw:,she had a large nose and heavy jowls’,,the cheek,the jaw.,,,చెంప దవుడ.,,"कपोल, गाल",
kick-start,/ˈkɪkˌstɑrt/,kik-stahrt,1,2,VERB,"to make something start to happen, happen more quickly, or improve.",Taxes were drastically cut in an attempt to kick-start the economy.,,regenerate,restore,revive,,తొలి అడుగు,,"झटके से बल लगाकर शुरु करना,  तेज़ी लाना",
label,ˈleɪ bəl,ley-buh l,1,3,NOUN,".a word or a phrase that is used to describe the characteristics or qualities of people, activities, or things, often in a way that is unfair.",the alcohol content is clearly stated on the label,,marker,sticker,tag,,"గుర్తు, చీటీ,ముద్ర.",,"लेबुल,सूचक पत्र,नाम-पत्र",
lucrative,ˈlu krə tɪv,loo-kruh-tiv,1,5,ADJECTIVE,Producing a great deal of profit.,The merger proved to be very lucrative for both companies.,,gainful,profitable,remunerative.,,"లాభదాయక, లాభసాటి.",,"लाभदायक, फल देनेवाला,फायदे का",
mandatory,,,1,4,ADJECTIVE,"made necessary, usually by law or by some other rule.",The test includes a mandatory essay question.,,compulsory,obligatory,required,,"ఆదేశక, ప్రవర్తక, విధ్యాత్మక,  ఖచ్చితంగా.",,"अनिवार्य,अनिवार्य,बलपूर्वक",
mishap,/ˈmɪs.hæp/,mis-hap,1,5,NOUN,"bad luck, or an unlucky event or accident.",The parade was very well organized and passed without mishap.,A series of mishaps led to the nuclear power     plant blowing up.,disaster,tragedy,unfortunate.,,"దురదృష్టము, దుర్ఘటన, విపత్తు.",,"दुर्घटना, दुर्भाग्यपूर्ण, आपदा",
out burst,ˈaʊtˌbɜrst,out-burst,1,5,NOUN,a sudden release of strong emotion.,"an angry outburst from the prime minister""",,blow-up,burst,explosion,,"వెల్లడిలో, సంగమం, అభివ్యక్తి, ద్యోతకం, వైభవం గా, వ్యక్తీకరణ, బహిర్గతం",,"आवेग,प्रकोप,विस्फोट",
